PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Standard Type,Standard Relation,Standard Value,Standard Units
,,,STRING,STRING,FLOAT,STRING
,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
103189214,6741,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,F,=,82,%
103189246,2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,F,=,60,%
103189248,4192,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,F,=,40.5,%
103189265,3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,F,=,72,%
103189728,4976,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,F,=,85,%
103192563,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,F,=,40,%
103194429,3157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,F,=,65,%
103194712,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,F,=,60,%
103195019,60825,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,F,=,86,%
103197648,3372,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,F,=,2.7,%
103205106,5280980,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O,F,=,75,%
103206765,5505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,F,=,85,%
103207442,5281040,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,F,=,73,%
103212386,92305,CC(C)[C@](CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,F,=,13.5,%
103213126,158962,C[C@H](CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O,F,=,100,%
103213196,158961,C[C@@H](CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O,F,=,100,%
103215824,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,F,=,80,%
103221863,5280453,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,F,=,61,%
103223867,460612,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,F,=,71,%
103224166,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,F,=,92,%
103225961,14052,CC[C@@H](CO)NCCN[C@@H](CC)CO,F,=,77,%
103226686,446541,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,F,=,72,%
103231964,3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,F,=,77,%
103232542,60877,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,F,=,93,%
103234269,6098,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,F,=,37,%
103234668,5311304,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O,F,=,11,%
103235071,3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,F,=,100,%
103236413,5078,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,F,=,45,%
103238060,55993,CN1C[C@H](C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,F,=,27,%
103238173,5732,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,F,=,72,%
103244983,123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,F,=,60,%
103245064,3446,C1CCC(CC1)(CC(=O)O)CN,F,=,60,%
103245538,119570,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,F,=,90,%
103250068,104865,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,F,=,50,%
103252465,12259685,C[C@@H]1[C@@H]2CC3=C([C@]1(CCN2CC=C(C)C)C)C=C(C=C3)O,F,=,18,%
103262836,18283,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,F,=,82,%
103266800,182176,CC(C)(C)NC[C@H](C1=CC(=C(C=C1)O)CO)O,F,=,71,%
103271913,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,F,=,15,%
103272743,667550,C[C@@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,F,=,85,%
103272960,452723,C[C@@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,F,=,97.5,%
103276854,60648,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,F,=,90,%
103280853,2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,F,=,93,%
103284100,5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,F,=,84,%
103292372,54454,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,F,=,5,%
103293038,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,F,=,81,%
103293043,3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,F,=,95,%
103306382,2099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,F,=,55,%
103311042,42890,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,F,=,28,%
103323138,3002190,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,F,=,57,%
103331451,41781,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,F,=,91,%
103338617,6230,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,F,=,64,%
103339306,91270,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC(=C(C=C3C[C@H]2C(=O)O)OC)OC,F,=,13,%
103346351,60857,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,F,=,40,%
103358641,42107,CN(CCCC1(S(=O)(=O)CCCS1(=O)=O)C2=CC(=C(C=C2)OC)OC)CCC3=CC(=C(C=C3)OC)OC,F,=,22,%
103375662,65028,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC,F,=,75,%
103394824,65981,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,F,=,56,%
103394848,180621,CC1=C(C(=CC=C1)C)OC[C@@H](C)N,F,=,87,%
103394849,185376,CC1=C(C(=CC=C1)C)OC[C@H](C)N,F,=,87,%
103396287,4440,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,F,=,67.5,%
